signal,SampleEndYear,n_in,n_out,ret_in,ret_out,sharpe_in,sharpe_out,t_in,t_out,ret_decay
Herf,2001,611,276,0.0071987996036230704,-0.008690182905714116,0.05243026404212782,-0.060864901413372086,0.36588242281984384,-0.24657683041310155,-0.015888982509337186
HerfBE,2001,601,276,0.018257955884155325,0.008389027271844996,0.14083512307621546,0.05585731318836821,0.9406919302298056,0.2979927558838345,-0.009868928612310328
IdioVol3F,2000,893,288,0.12245648172136311,0.04004112756909101,0.437269357668136,0.1426108759316549,3.582019128709729,0.6427203894691115,-0.08241535415227211
IdioVolAHT,1997,846,324,0.038022177035188544,0.061979340381270634,0.14324190755762253,0.18197010074831974,1.0754329011216142,0.9259804944190773,0.02395716334608209
Illiquidity,1997,846,324,0.03664298951906695,0.016515912254299533,0.24536424179033908,0.13750323080417964,2.2028997080158548,0.6657664653246521,-0.020127077264767416
IndMom,1995,834,348,0.046322257119373156,0.03256028423579722,0.261487265210931,0.16543063839671096,2.2242492735582395,1.01094479224613,-0.013761972883575939
IndRetBig,2001,911,276,0.23538989681381328,0.051627533899716464,1.2612682727572833,0.2799701030464319,9.139617091833856,1.5321456440785315,-0.1837623629140968
IntMom,2010,1008,168,0.1489121907824963,0.09201588619668594,0.6447330888207427,0.3598549324723369,5.561643626226184,1.3902313524539425,-0.05689630458581035
IntanBM,2003,450,252,0.0564885946097721,-0.08341217338852992,0.2827967089442814,-0.3957558520674499,1.5657110646237535,-1.5901634327760046,-0.13990076799830203
IntanCFP,2003,576,252,0.0514483710157594,-0.06649250327653497,0.2984650198464054,-0.2969215663052234,1.8175768329595454,-1.2869405678915171,-0.11794087429229437
IntanEP,2003,570,252,0.030526043713937814,-0.042642498092268624,0.18979471395905778,-0.228970123986883,1.1209905268438705,-0.9457137640036976,-0.07316854180620644
IntanSP,2003,570,252,0.029329842447885186,-0.037912611979238356,0.14850654868817478,-0.14317973003435105,0.9833377853942088,-0.578188555618817,-0.06724245442712354
InvGrowth,2009,690,180,0.0607812703611437,-0.010959326451605411,0.4328610524718196,-0.07675648598631156,3.3985413257977157,-0.3233993594826026,-0.07174059681274911
InvestPPEInv,2005,648,228,0.07867568107994247,0.004679768029249956,0.6922600381960936,0.02971700965810213,4.764839684941291,0.13590521872794528,-0.07399591305069252
Investment,1996,522,336,0.04572447862890397,0.029409631797230856,0.47421302532576337,0.2259901561810226,3.0240720260612552,1.266459002004159,-0.016314846831673113
LRreversal,1982,648,504,0.044150290778838926,0.01425468501562141,0.18867774613814783,0.05920917484015275,1.36224458878666,0.3354354729006098,-0.029895605763217516
Leverage,1981,366,516,0.04559359771133378,0.022242557345608545,0.38084907749301483,0.09657922852997122,2.1112536448756307,0.5485968507041142,-0.02335104036572524
MaxRet,2005,959,228,0.08560483893453669,0.03064280945510501,0.3323618540066559,0.12638944168023422,2.7734151473835174,0.5709444552795574,-0.05496202947943168
MeanRankRevGrowth,1990,402,408,0.03895681824342392,-0.008794232054771308,0.3328576013563709,-0.07230129332667642,1.8511362271060092,-0.3508633376885888,-0.04775105029819522
Mom12m,1989,756,420,0.1651898199662588,0.162892141625898,0.6197813250057957,0.492806590469398,4.813543288430721,2.9686915916617593,-0.0022976783403608203
Mom12mOffSeason,2002,922,264,0.12735341213510426,0.12745631218579664,0.46585867571013906,0.4158189869339734,3.883929750836278,1.8881387126389255,0.00010290005069238384
Mom6m,1989,762,420,0.11796038713895271,0.15774054152573452,0.45462708105851485,0.5348403598816572,3.2127903953131325,3.392067429584211,0.03978015438678181
Mom6mJunk,2003,406,252,0.1600718280966724,0.13512263493236326,0.5188175599235858,0.503272387021365,3.367562871458136,2.2926028846139133,-0.02494919316430913
MomOffSeason,2002,911,264,0.08973601267613235,0.024315005407976223,0.48723508311989006,0.12069790136127073,4.036111373797603,0.5318960666648581,-0.06542100726815613
MomOffSeason06YrPlus,2002,863,264,0.0463392485075983,0.08017175630725688,0.3193510490730734,0.573466695048955,2.6263557501339534,2.922775004895695,0.03383250779965858
MomOffSeason16YrPlus,2002,743,264,0.027375032941446165,0.0007049808356708094,0.24285988175159978,0.005932484751080846,1.9732372695184974,0.030338562143580567,-0.026670052105775357
MomSeason,2002,900,264,0.11054011841101778,-0.0722742390098947,0.7206955433816722,-0.4401591772110664,6.325851223468444,-2.062470292465995,-0.18281435742091248
MomSeason06YrPlus,2002,852,264,0.07837340567659692,0.02039917560794439,0.56705430813295,0.15682381597937783,4.485019366463519,0.7095621453870189,-0.05797423006865253
MomSeason11YrPlus,2002,792,264,0.0783519714606774,0.024852341727797652,0.6754524577416906,0.20437918917599096,5.5843383094518915,0.9451053369985722,-0.05349962973287975
MomSeason16YrPlus,2002,732,264,0.04240970488769877,0.06532145418918507,0.3733992140308451,0.5565701019795499,3.0303975829756333,2.5349809331635997,0.022911749301486303
MomSeasonShort,2002,912,264,0.11536712253773317,-0.031542340214752884,0.5940765059157568,-0.16999331987378646,4.773412158703416,-0.8526204224060433,-0.14690946275248606
NOA,2002,480,264,0.09636442319821156,0.03863156062606663,0.8033555318382848,0.3118656502202893,4.666526128005267,1.478237241668264,-0.05773286257214493
NetDebtFinance,2000,342,288,0.021334263585639373,-0.008411472925718325,0.21873713999810585,-0.08410318973650815,1.213382787008851,-0.28069510257502556,-0.029745736511357698
NetDebtPrice,2001,462,276,0.0015852062620775212,-0.007247734748803636,0.010189961221744452,-0.036431987881069744,0.05415804739455679,-0.16021608881464083,-0.008832941010881157
NetEquityFinance,2000,342,288,0.057334602258521744,0.041224936133188596,0.3638552543530075,0.23769760084543387,2.0252426299950126,1.246502745746292,-0.01610966612533315
NetPayoutYield,2003,606,252,0.027571103616127274,0.07446677835374461,0.17812690332740866,0.3621513729757322,1.1742102838532973,1.624512353983237,0.04689567473761734
OPLeverage,2008,690,192,0.04559028793956803,0.024389432182880262,0.3586724017527452,0.15368523149417648,2.3868980185145805,0.6464161980896848,-0.021200855756687766
OptionVolume1,2010,178,153,0.05928215405256512,-0.02506232972059525,0.3442782754501666,-0.2631111446367037,1.049783358484657,-0.803516476471655,-0.08434448377316037
OrderBacklog,1999,342,300,0.00965249637647355,-0.040795390770309144,0.05853565042485393,-0.21657853073670882,0.25489118692393886,-1.0115779564271439,-0.050447887146782694
OrderBacklogChg,1999,330,300,-0.020465695976630616,0.013186718271282486,-0.11609951815712756,0.06535832822730965,-0.5731635100352139,0.3237766293878538,0.0336524142479131
OrgCap,2008,690,192,0.0788814355197339,0.033565168878953174,0.6747929158516515,0.2830881209047053,5.413353470125346,1.0487386487936394,-0.04531626664078072
PS,1996,300,336,0.09434013627385869,0.07494877187421473,0.514921639004658,0.26051480720079895,2.6495177227602627,1.3074868597642786,-0.019391364399643965
PayoutYield,2003,606,252,0.008092393384903902,0.06791435902151668,0.052542116728429185,0.5125618909702715,0.33879227146039465,2.1924677042820466,0.05982196563661278
PctAcc,2008,534,192,0.01763957691868783,0.026120890914844465,0.13863142778709978,0.2834529012915379,0.9315137155609622,1.4665314694364242,0.008481313996156634
PctTotAcc,2008,246,192,0.024066145490169593,0.018657919736142323,0.21513556916493107,0.2136225538538112,0.9340939680885424,1.0181125848279446,-0.00540822575402727
Price,1971,552,636,0.1000337171643089,-0.014802283462684333,0.264397188707356,-0.042893539873463414,1.564229687208685,-0.2764523773188624,-0.11483600062699323
PriceDelayRsq,2001,893,272,-0.025776854861603395,-0.06904525606655221,-0.17035130610855642,-0.4782332924823553,-1.5200246903223034,-2.6808290598490436,-0.04326840120494881
RD,1995,534,348,0.04562831028651745,0.09371761266918394,0.25605629601731594,0.3026593277022802,1.6143361425614242,1.4786997383487563,0.04808930238266649
RDAbility,2009,630,180,0.013101094545588682,-0.05069748812404852,0.05317114778582939,-0.24838980547241743,0.38684614189390465,-0.9856525648773041,-0.0637985826696372
RDS,2003,366,252,0.025082945270677413,-0.00240175300738328,0.18975502323433147,-0.03911552584034462,1.2447811412622396,-0.16213142489712654,-0.027484698278060694
RDcap,2007,330,204,0.06618990927660681,-0.028557039562815405,0.2258140082178912,-0.1114585980879764,0.8659994230615572,-0.3475211601587387,-0.09474694883942222
REV6,1992,196,384,0.08732123101379217,0.05951383077551026,0.7668285807682085,0.316481932149254,3.2556621536647286,1.9053999392558294,-0.027807400238281918
RIVolSpread,2004,107,217,0.16731011154163536,0.0009565353912727647,0.7864958735054082,0.005206750792989206,2.5230182224371136,0.021500168634524888,-0.1663535761503626
RealizedVol,2000,893,288,0.09731655030064562,0.04871453564943132,0.3340544866728133,0.1376724058360916,2.721281544553299,0.6345644196517972,-0.048602014651214304
ResidualMomentum,2009,955,180,0.08700659692234275,0.0037422771433180116,0.6174786199209422,0.03372292803320926,6.120666528999839,0.14515507274939773,-0.08326431977902474
ReturnSkew,2012,1043,144,0.011268607184569167,0.0030477411361947504,0.11245997379633615,0.03972576258135757,1.0235001252722846,0.14777748573100943,-0.008220866048374416
ReturnSkew3F,2012,1037,144,-0.0015770166932280825,-0.03044896407804374,-0.01711128673718679,-0.47572587522269016,-0.15733540926607098,-2.078231702663968,-0.028871947384815657
RevenueSurprise,2003,487,252,0.003261195008951303,0.03455540674666013,0.03335358913989858,0.35263956867599583,0.2253742669378655,1.4048110619242316,0.03129421173770883
STreversal,1987,743,444,0.1575725034746221,-0.007209876593053941,0.7481781141185067,-0.026114678462640033,5.21155790721634,-0.18920328651139873,-0.16478238006767604
ShareIss1Y,2003,918,252,0.06887909751476283,0.0909792409058126,0.7198695552583323,0.8111683212787644,5.400162722591161,3.3868859610189346,0.022100143391049765
ShareIss5Y,2003,870,252,0.06738397703570209,0.07019069475800346,0.6553392676352339,0.5480986345137024,5.185673469774861,2.4671106669982272,0.0028067177223013717
Size,1975,594,588,0.09244361878597328,-0.02316614946194695,0.2821023857982837,-0.10777001084866444,1.9610905233284623,-0.6067263335527943,-0.11560976824792023
SmileSlope,2005,119,205,0.2625845905946198,0.11179360222113999,1.9163967683898655,0.9787687750790578,6.69897192665585,3.801197711110335,-0.15079098837347982
Tax,2000,594,288,0.018557253854799574,0.04963908653950262,0.17078356108195214,0.5378834967361602,1.1583330228797655,2.364635479528865,0.031081832684703048
TotalAccruals,2001,594,276,0.012182106397525545,-0.03323996148036683,0.10227980588552854,-0.24312458224586173,0.6517660544451295,-1.0148621882753288,-0.04542206787789237
TrendFactor,2014,1066,120,0.22484552868977592,-0.0072721547498359185,1.0881429257145192,-0.034114596196564186,10.675485194097579,-0.12665189487359108,-0.23211768343961184
VolSD,1995,826,348,0.023373612529412162,0.021229093575241612,0.1743066685689327,0.1731726568467447,1.7022689824549744,0.9923592388041483,-0.0021445189541705496
XFIN,2000,342,288,0.08859024707439148,0.0837027221423624,0.44086038374715303,0.3967180048736336,2.1856796976680966,1.7833270297985577,-0.004887524932029069
betaVIX,2000,179,288,0.13406954297572277,0.054719626242942895,0.8207810254714731,0.32228782663260785,3.3256999163561094,1.6266879850537734,-0.07934991673277987
cfp,1997,402,324,-0.002152834210406326,0.04372879987652521,-0.014972299713467144,0.22947664426798714,-0.08734774776996974,1.3699426823857026,0.045881634086931536
dCPVolSpread,2011,190,133,0.1857107517184618,0.060948756713163445,1.5692573871600328,0.7017516228490354,5.138543988511399,2.559042927326913,-0.12476199500529836
dNoa,2002,486,264,0.08814458462743621,0.013988335345269241,0.7221997106610949,0.13529203576174195,4.4898923066797165,0.5438264946450806,-0.07415624928216696
dVolCall,2011,190,133,0.07840565461421053,0.054919350665201455,0.3692806096082794,0.406325191873016,1.3394399190884536,1.5609847823035063,-0.02348630394900908
fgr5yrLag,1990,102,408,0.03475635078214686,-0.008070540022989323,0.17316990871197374,-0.03246693715601083,0.5276939997829965,-0.17841472684122126,-0.042826890805136186
grcapx,1999,558,300,0.020263158753960387,0.05380960758192524,0.24452456160501865,0.32991280685567,1.5824712338024718,1.5377005704517148,0.033546448827964856
grcapx3y,1999,546,300,0.027070362405148173,0.04124752535201013,0.27986675755467355,0.2394578940394796,1.7299621640837306,1.1829143581841108,0.014177162946861957
hire,2010,546,168,0.025949514479909362,-0.005559057658299423,0.2275452354040697,-0.041693491750432576,1.4739059772132925,-0.13734105735052798,-0.03150857213820878
retConglomerate,2009,407,180,0.047486599864632245,0.016672376341118414,0.26242894883215784,0.12483721407230393,1.7846805554789569,0.6173979344887819,-0.03081422352351383
roaq,2005,474,228,0.033504467690443185,0.0817767715164802,0.14892634990828382,0.4072086904725892,0.8856681462126448,1.7796896745578663,0.04827230382603702
sfe,1998,261,312,0.10568347155479964,0.012601298344672484,0.6531329842906337,0.03801283432293568,2.4928177685417876,0.17973394604477066,-0.09308217321012716
std_turn,1995,816,348,0.07126587861949846,0.0019163812280369895,0.31986352314232086,0.006583286334844278,3.1703075980179007,0.03392987823754685,-0.06934949739146147
tang,2001,612,276,0.006810900577618261,0.03230444729540909,0.048225745956752365,0.19784883759220226,0.33728702584320475,0.9335875183246353,0.025493546717790833
zerotrade12M,2003,923,252,0.035159400911335736,0.001949948474310155,0.20210981972217826,0.012707647764780975,1.881088639041168,0.05407321836115705,-0.03320945243702558
zerotrade1M,2003,924,252,0.029678573840307598,0.0030052338419708914,0.16395063956539746,0.020777849098394547,1.4468614883390922,0.08350385549203258,-0.026673339998336706
zerotrade6M,2003,929,252,0.031034225403674242,-0.0003634419014089198,0.17653525538612577,-0.0022877500934579673,1.7375355556157026,-0.009761172781342555,-0.031397667305083164
